States,co2,co,ch4,total
Andhra Pradesh,974.17,27.18,16.97,1018.32
Arunachal,405.9,17.43,25.82,449.15
Assam,340.91,16.63,21.29,378.83
Bihar,179.01,8.83,9.59,197.43
Chattisgarh,1963.88,17.56,22.37,2003.81
Goa,2662.51,23.12,7.62,2693.25
Gujarat,1310.58,24.01,12.26,1346.85
Haryana,1381.86,17.9,21.57,1421.33
Himachal Pradesh,784.16,16.98,18.28,819.42
Jammu & Kashmir,509.03,15.59,14.42,539.04
Jharkhand,1403.43,15.02,15.39,1433.84
Karnataka,888.86,24.93,12.2,925.99
Kerala,780.12,18.29,4.52,802.93
Madhya Pradesh,656.37,16.14,15.15,687.66
Maharashtra,936.7,23.58,9.8,970.08
Manipur,379.2,10.8,22.63,412.63
Meghalaya,691.53,12.65,19.8,723.98
Mizoram,754.71,15.4,10.72,780.83
Nagaland,1275.27,24.13,29.08,1328.48
Odhisha,700.13,18.4,19.88,738.41
Punjab,1618.08,27.9,33.38,1679.36
Rajasthan,793.69,14.33,14.18,822.2
Sikkim,711.39,11.68,10.04,733.11
Tamilnadu ,985.7,26.6,10.4,1022.7
Tripura,295.64,17.76,19.23,332.63
Uttar Pradesh,404.26,12.4,12.87,429.53
Uttarakhand,493.01,14.28,17.93,525.22
West Bengal,763.13,22.69,15.99,801.81
